Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE
300,tanh,11,Adam,Xavier,0,0.039192826,0.089589499
300,relu,11,Adam,Xavier,0,0.039725438,0.146489405
300,relu,8,Adam,Xavier,0.001,0.039849322,0.079308836
300,relu,8,Adam,Xavier,0.0001,0.040007193,0.067948565
300,relu,8,Adam,Xavier,0,0.040484399,0.079757429
300,tanh,5,Adam,Xavier,0.0001,0.040597308,0.084926933
300,relu,11,Adam,Xavier,0.001,0.040634044,0.048349515
200,tanh,11,Adam,Xavier,0.0001,0.040781543,0.051743612
200,relu,8,Adam,Xavier,0.0001,0.040874321,0.073998632
300,relu,11,Adam,Xavier,0.0001,0.041080721,0.090444762
300,tanh,11,Momentum,Xavier,0.0001,0.041184451,0.062035396
300,tanh,8,Adam,Xavier,0,0.041201219,0.075042621
300,tanh,8,Momentum,Xavier,0.0001,0.041565392,0.172173898
300,tanh,11,Momentum,Xavier,0.001,0.041613765,0.062415226
200,relu,5,Momentum,Xavier,0.0001,0.041951586,0.132556349
300,relu,11,Momentum,Xavier,0.001,0.041997157,0.058611509
300,relu,5,Momentum,Xavier,0.001,0.042165413,0.078455945
300,sigmoid,5,Adam,Xavier,0,0.042176612,0.084373169
300,relu,5,Adam,Xavier,0.0001,0.042177904,0.049068083
300,tanh,8,Momentum,Xavier,0.001,0.042305615,0.076991064
200,relu,11,Momentum,Xavier,0.001,0.04238005,0.07528821
300,tanh,11,Momentum,Xavier,0,0.042553712,0.08561015
300,tanh,11,Adam,Xavier,0.001,0.042762965,0.07057634
300,relu,11,Momentum,Xavier,0.0001,0.042863604,0.134657719
300,tanh,8,Adam,Xavier,0.001,0.043076023,0.07482668
100,tanh,11,Momentum,Xavier,0.0001,0.043504763,0.119895671
300,tanh,8,Momentum,Xavier,0,0.043535911,0.104803403
300,relu,8,Momentum,Xavier,0.001,0.043556768,0.06494811
100,relu,8,Adam,Xavier,0.001,0.043563664,0.147036778
200,relu,8,Adam,Xavier,0.001,0.043842334,0.088760281
300,relu,5,Adam,Xavier,0.001,0.043864962,0.111812554
300,tanh,8,Adam,Xavier,0.0001,0.043878421,0.110581034
300,tanh,5,Momentum,Xavier,0,0.043947548,0.047502128
200,tanh,11,Momentum,Xavier,0.001,0.044005409,0.096431493
300,tanh,8,Adam,small_random,0.001,0.044147622,0.221363466
200,tanh,8,Momentum,Xavier,0.001,0.04440558,0.125210571
